term,abbr_by_first_letters
гипнотические средства,ГС
протосколекс,П
"Burowi,",B
гамартома,Г
кортиевы дуги,КД
радиосенсибилизирующие средства,РС
фликтена солитарная,ФС
хеморецепция,Х
Sanders,S
Колюбакина операция,КО
Верльгофа вторичный синдром,ВВС
BirKenfeld,B
архитектонические поля мозга,АПМ
порог различения,ПР
Гольджи,Г
сифилонихия,С
сосудистое кольцо зрительного нерва,СКЗН
капиллярное давление,КД
Bayle,B
гипертелоризм семейный,ГС
гребень лобковой кости,ГЛК
Фарра,Ф
синдром пароксизмальный Джейнуэя-Мозенталя,СПДМ
гиперкератоз,Г
Jakob,J
базилярная борозда,ББ
изопреноиды,И
поллиноз,П
Цинссера болезнь,ЦБ
геморроидальное сплетение,ГС
насасывающие люки,НЛ
метод розеток,МР
ценкеровский некроз,ЦН
гисто-,Г
Карчикяна дистантно-оральный рефлекс,КДОР
"Temporalis profunda posterior,",TPP
экспрессивность,Э
Джейнуэя,Д
спондилография,С
Lambret,L
акуметр,А
гемометр,Г
эндоскоп,Э
транзитивизм,Т
симптом последнего слова,СПС
андростерон,А
Reifferscheid,R
рельеф-ниша,РН
офтальмомикрохирургия,О
Рапопорта трансплантационный миокардит,РТМ
режим минеральных вод,РМВ
Клейна признак,КП
Котара ипохондрический бред,КИБ
Seglas,S
невреллез,Н
псевдомикседема лихеноидная,ПЛ
серозная жидкость,СЖ
Кохера резекция локтевого сустава,КРЛС
акромион,А
аналептики дыхательные,АД
Аддисона болезнь,АБ
пневмоперикардиография,П
"санитарно-противоэпидемический отряд армейский, фронтовой",СПОАФ
Lymphonodi cervicales profundi craniales,LCPC
Унны плазматические клетки,УПК
Wilms,W
синдром передних рогов спинного мозга,СПРСМ
Фортнера метод,ФМ
Фехнера закон,ФЗ
Нисимото болезнь,НБ
проток первичной почки,ППП
гистерофор,Г
Trapezius,T
Хеглера сухожильный шов,ХСШ
Kleinschmidt,K
эллиптический карман,ЭК
Cutaneus surae medialis,CSM
Crile,C
декстрокардия,Д
атаксия,А
Hippocrates,H
мускулатура,М
пауки ядовитые,ПЯ
лапарометрия,Л
Iliacus ramus,IR
дисплазия головного мозга поликистозная,ДГМП
Шмидта синдром,ШС
факультет здоровья при народном университете,ФЗПНУ
пролежень,П
миеломатоз,М
мелосхиз,М
Котовщиковой метод,КМ
de Wecker,DW
Адлера система психотерапии,АСП
Ферагута индекс,ФИ
радикотомия,Р
сонно-барабанные канальцы,СБК
Рейха фаллопластика,РФ
Финокьетто расширитель,ФР
Obliqua atrii sinistri,OAS
Василиу,В
предел генетической дозы,ПГД
палатосхизис,П
матрикс ногтя,МН
крыловидная плева ложная,КПЛ
амфорофония,А
почка дольчатая,ПД
симптом капюшона,СК
нефрогидроз,Н
Cutaneus medialis,CM
шизонтоцидные средства,ШС
Pfannenstiel,P
Ниссля первичная реакция,НПР
эваковместимость,Э
Пик,П
нейрофиброма плексиформная,НП
половая зрелость,ПЗ
Calcaneus,C
спороциста,С
Bayliss,B
ликвородинамическая проба,ЛП
Пирогова метод,ПМ
теизм,Т
Штауба феномен,ШФ
кроветворение,К
Luscher,L
кардиокинематограмма,К
рецепция,Р
анима,А
Рейффершейда доступ,РД
скиаграфия,С
Зейтца фильтр,ЗФ
желточный проток,ЖП
пиро-,П
миоэндокардит фиброэластический,МФ
сфигмо-,С
d-базофил (ы),DБ(
Барнарда радикальная внутрипредсердная коррекция,БРВК
Шарко истерическая дуга,ШИД
диплоидный набор хромосом,ДНХ
цитоплазматическая мембрана,ЦМ
теменно-копчиковая длина,ТКД
Линденбратена линии,ЛЛ
приказ общественного призрения,ПОП
гипоальдостеронизм,Г
Гретера форма шизофрении,ГФШ
сидерофагия,С
трансляция,Т
Соловьева индекс,СИ
Крейтцфельдта,К
фильтр,Ф
Profunda penis,PP
ванны углекислые сухие,ВУС
симпласт,С
Emissaria mastoidea,EM
алгоритмический язык,АЯ
Санфеличе жидкость,СЖ
